,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,HIRING_STATUS,JOB_ID,SALARY,DEPARTMENT_ID,RESIDENCY_ID
0,198,Donald,OConnell,DOCONNEL,2007-06-21 00:00:00.000000,late hire,SH_CLERK,2600,50,1500
1,199,Douglas,Grant,DGRANT,2008-01-13 00:00:00.000000,late hire,SH_CLERK,2600,50,1500
2,200,Jennifer,Whalen,JWHALEN,2003-09-17 00:00:00.000000,early hire,AD_ASST,4400,10,1700
3,201,Michael,Hartstein,MHARTSTE,2004-02-17 00:00:00.000000,early hire,MK_MAN,13000,20,1000
4,202,Pat,Fay,PFAY,2005-08-17 00:00:00.000000,early hire,MK_REP,6000,20,1800
5,203,Susan,Mavris,SMAVRIS,2002-06-07 00:00:00.000000,early hire,HR_REP,6500,40,2400
6,204,Hermann,Baer,HBAER,2002-06-07 00:00:00.000000,early hire,PR_REP,10000,70,2700
7,205,Shelley,Higgins,SHIGGINS,2002-06-07 00:00:00.000000,early hire,AC_MGR,12008,110,1700
8,206,William,Gietz,WGIETZ,2002-06-07 00:00:00.000000,early hire,AC_ACCOUNT,8300,110,1700
9,100,Steven,King,SKING,2003-06-17 00:00:00.000000,early hire,AD_PRES,24000,0,3000
10,101,Neena,Kochhar,NKOCHHAR,2005-09-21 00:00:00.000000,early hire,AD_VP,17000,90,1700
11,102,Lex,De Haan,LDEHAAN,2001-01-13 00:00:00.000000,early hire,AD_VP,17000,90,1700
12,103,Alexander,Hunold,AHUNOLD,2006-01-03 00:00:00.000000,late hire,IT_PROG,9000,60,1700
13,104,Bruce,Ernst,BERNST,2007-05-21 00:00:00.000000,late hire,IT_PROG,6000,60,1400
14,105,David,Austin,DAUSTIN,2005-06-25 00:00:00.000000,early hire,IT_PROG,4800,60,1800
15,106,Valli,Pataballa,VPATABAL,2006-02-05 00:00:00.000000,late hire,IT_PROG,4800,60,2000
16,107,Diana,Lorentz,DLORENTZ,2007-02-07 00:00:00.000000,late hire,IT_PROG,4200,60,1400
17,108,Nancy,Greenberg,NGREENBE,2002-08-17 00:00:00.000000,early hire,FI_MGR,12008,100,1700
18,109,Daniel,Faviet,DFAVIET,2002-08-16 00:00:00.000000,early hire,FI_ACCOUNT,9000,100,1700
19,110,John,Chen,JCHEN,2005-09-28 00:00:00.000000,early hire,FI_ACCOUNT,8200,100,1700
