,MANAGER_ID,FIRST_NAME,LAST_NAME,EMAIL,JOB_ID,SALARY,RESIDENCY_ID,DEPARTMENT_ID,DEPARTMENT_NAME,LOCATION_ID
0,100.0,Steven,King,SKING,AD_PRES,24000,3000,90,Executive,1700
1,103.0,Alexander,Hunold,AHUNOLD,IT_PROG,9000,1700,60,IT,1400
2,108.0,Nancy,Greenberg,NGREENBE,FI_MGR,12008,1700,100,Finance,1700
3,114.0,Den,Raphaely,DRAPHEAL,PU_MAN,11000,1800,30,Purchasing,1700
4,121.0,Adam,Fripp,AFRIPP,ST_MAN,8200,1900,50,Shipping,2000
5,200.0,Jennifer,Whalen,JWHALEN,AD_ASST,4400,1700,10,Administration,1700
6,201.0,Michael,Hartstein,MHARTSTE,MK_MAN,13000,1000,20,Marketing,1800
7,203.0,Susan,Mavris,SMAVRIS,HR_REP,6500,2400,40,Human Resources,2400
8,204.0,Hermann,Baer,HBAER,PR_REP,10000,2700,70,Public Relations,2700
9,205.0,Shelley,Higgins,SHIGGINS,AC_MGR,12008,1700,110,Accounting,1700
